name,id,wikidataId,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,digitalSource,originalSourcePublisher,originalSourcePubPlace,originalSourceYear,originalSourceNumberOfPages,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numOfPersonGroups,numConnectedComponents,numEdges,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
"anonyme-prix-d-un-moment","fre000031","","[anonyme]","0","Le Prix d'un Moment","Petite Pièce en un Acte et en Prose, Melée D'Airs.","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_PRIXDUNMOMENT.xml","","","","","1772","5","false","0.7","0.7","1.3","louis","2.8","2","","1772","4","5","0","4","1","0","1","7","","5","","1","3317","2775","142","41","153"
"anonyme-reception-argenson","fre000032","","[anonyme]","0","La Réception de Monseigneur le Vicomte d'Argenson","Par Toutes les Nations du Pays de Canada à son Entrée au Gouvernement de la Nouvelle-France.","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_RECEPTIONARGENSON.xml","","","","","1658","13","false","1","0.5384615384615384","1","several characters","6.461538461538462","1","1658","1658","8","13","0","5","8","0","2","42","","3","","1","1969","1782","72","16","40"
"anonyme-resurrection-du-sauveur","fre000033","","[anonyme]","1","La Résurrection du Sauveur","Fragment d'un Mystère Inédit","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_RESURRECTIONDUSAUVEUR.xml","","","","","1834","9","false","0.7936507936507937","0.6111111111111112","1.2142857142857142","pilate|un-soldat|caïphe","4.888888888888889","2","","1834","7","9","0","6","3","0","2","22","","6","","0","3019","2603","358","67","0"
"anonyme-resurrection-jenin-landore","fre000034","","[anonyme]","0","Farce Nouvelle Très Bonne et Fort Joyeuse de la Resurrection de Jenin Landore","À quatre personnages, c'est à savoir","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_RESURRECTIONJENINLANDORE.xml","","","","","1512","4","false","1","1","1","several characters","3","1","","1547/1557","3","4","0","3","1","0","1","6","1511/1512","1","","1","1968","1909","0","0","268"
"anonyme-sauvages-civilises","fre000035","","[anonyme]","0","Les Sauvages ou Le Roi Bienfaisant.","Opéra National.","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_SAUVAGESCIVILISES.xml","","","","","1789","22","true","0.8425524193572321","0.4588744588744589","1.5887445887445888","idamir","9.636363636363637","3","","1789","18","22","2","4","16","0","1","106","","14","","3","4853","3469","1139","0","463"
"anonyme-serail-de-de-lys","fre000036","","[anonyme]","0","Le Sérail de de Lys","Parodie d'Alcibiade","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_SERAILDEDELYS.xml","","","","","1735","4","false","0","0.5","1.5","alcibiade","1.5","2","","1735","3","4","2","2","0","0","1","3","","3","","0","2173","823","32","0","75"
"anonyme-sermon-joyeux","fre000037","","[anonyme]","0","Sermon Joyeux de Bien Boire","À deux personnages, c'est à savoir","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_SERMONJOYEUX.xml","","","","","1545","2","false","0","1","1","le-cuisinier|le-precheur","1","1","","1545","1","2","0","2","0","0","1","1","","1","","1","2598","2549","0","0","366"
"anonyme-vende","fre000038","","[anonyme]","0","Vende","Ou le Triomphe et le Sacrifice de la Chasteté","Tragedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_VENDE.xml","","","","","1644","0","false","","","","","","","1644","1644","","0","0","1","0","0","","","","36","","5","4412","0","1273","0","0"
"anonyme-vierges-folles-vierges-sages","fre000039","","[anonyme]","0","Les Vierges Sages et les Vierges Folles","","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_VIERGESFOLLESVIERGESSAGES.xml","","","","","1834","21","false","1","1","1","several characters","20","1","","1834","20","21","1","19","1","0","1","210","","1","","0","1609","1525","21","47","59"
"anonyme-voila-bien-le-diable","fre000040","","[anonyme]","0","Oh ! Voilà Bien le Diable !","Petite Pièce en un Acte et en Prose Melée D'Airs.","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_VOILABIENLEDIABLE.xml","","","","","1772","9","false","0.9365079365079365","0.8888888888888888","1.1111111111111112","several characters","7.111111111111111","2","","1772","8","9","3","3","3","0","1","32","","6","","1","3705","3137","279","62","240"
"anonyme-zelamire","fre000041","","[anonyme]","0","Zélamire","Ou la Sauvage","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_ZELAMIRE.xml","","","","","1786","7","false","0.9238095238095239","0.9047619047619048","1.0952380952380953","several characters","5.428571428571429","2","","1786","6","7","2","5","0","0","1","19","","16","","2","7825","7687","45","0","904"
"anseaume-cendrillon","fre000042","","Anseaume","0","Cendrillon","Opéra-Comique","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANSEAUME_CENDRILLON.xml","","","","","1759","11","false","0.8722943722943725","0.6727272727272727","1.3636363636363635","cendrillon|l-ainee|la-cadette","6.7272727272727275","3","1759","1759","9","11","2","2","7","0","1","37","","15","","1","6595","6349","702","0","993"
"anseaume-chinois","fre000043","","Anseaume","0","Le Chinois Poli en France","Parodie du Chinois de Retour","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANSEAUME_CHINOIS.xml","","","","","1755","5","false","1","1","1","several characters","4","1","1755","1755","4","5","1","2","2","0","1","10","","6","","1","3738","3603","448","0","582"
"anseaume-ressource-comique","fre000044","","Anseaume","0","La Ressource Comique","Pièce en un Acte Mêlée d'Ariettes","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANSEAUME_RESSOURCECOMIQUE.xml","","","","","1772","15","false","0.6844444444444444","0.3047619047619048","2.1333333333333333","le-chevalier|la-marquise","4.266666666666667","4","1772","1772","8","15","4","8","3","0","1","32","","27","","1","9109","8691","145","367","335"
"anseaume-tableau-parlant","fre001462","","Anseaume","1","La Tableau Parlant","Comédie Parade","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANSEAUME_TABLEAUPARLANT.xml","","","","","1755","6","false","1","1","1","several characters","5","1","1755","1816","5","6","2","3","1","0","1","15","","13","","0","7676","7492","230","0","1123"
"arago-mademoiselle-lange","fre001505","","Arago","0","Mademoiselle Lange","Vaudeville","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ARAGO_MADEMOISELLELANGE.xml","","","","","1701","7","false","0.9238095238095239","0.8095238095238095","1.1904761904761905","julie|simon","4.857142857142857","2","1701","1846","6","7","2","2","3","0","1","17","","18","","0","6116","5919","166","379","73"
"archambault-ce-n-est-pas","fre000045","","Archambault","0","Ca n'en Est pas ou Tout ce qui Reluit n'est pas or","Comédie-Proverbe en un Acte","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ARCHAMBAULT_CENESTPAS.xml","","","","","1779","11","false","0.8149350649350651","0.6727272727272727","1.3636363636363635","ragot","6.7272727272727275","3","1779","1779","9","11","3","4","4","0","1","37","","23","","1","8223","7988","61","337","0"
"archambault-comedie-a-l-impromptu","fre000046","","Dorvigny","0","La Comédie à l'Impromptu","Ou les Dupes","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ARCHAMBAULT_COMEDIEALIMPROMPTU.xml","","","","","1780","9","false","0.9722222222222222","0.9722222222222222","1.0277777777777777","several characters","7.777777777777778","2","1780","1780","8","9","4","4","1","0","1","35","","14","","1","6379","6183","186","354","60"
"archambault-etrennes","fre000047","","Archambault","0","Les Etrennes de l'Amitié, de l'Amour et de la Nature","Comédie en un Acte, en vers","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ARCHAMBAULT_ETRENNES.xml","","","","","1780","10","false","0.8607142857142858","0.5333333333333333","1.4666666666666666","monsieur-de-saint-franc","4.8","2","1780","1783","9","10","2","4","4","0","1","24","","21","","1","7356","6625","302","3","768"
"archambault-hurlubrelu","fre000048","","Archambault","0","Hurlubrelu","Ou Tout de Travers","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ARCHAMBAULT_HURLUBRELU.xml","","","","","1794","14","false","0.7514652014652015","0.27472527472527475","1.7252747252747254","hurlubrelu","3.5714285714285716","2","","1794","13","14","3","3","8","0","1","25","","28","","1","9839","9584","382","382","0"
"archambault-janot-battus","fre000049","","Archambault","0","Janot","Ou les Battus Paient l'Amende","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ARCHAMBAULT_JANOTBATTUS.xml","","","","","1779","10","false","0.7749206349206349","0.5555555555555556","1.4444444444444444","ragot","5","2","1779","1779","9","10","2","4","4","0","1","25","","22","","1","8419","8143","344","430","2"
