id,name,playName,wikidataId,normalizedGenre,libretto,firstAuthor,title,subtitle,numOfCoAuthors,maxDegreeIds,numOfSegments,numOfActs,numOfSpeakers,numOfSpeakersMale,numOfSpeakersFemale,numOfSpeakersUnknown,numOfPersonGroups,numOfP,numOfL,wikipediaLinkCount,wordCountText,wordCountSp,wordCountStage,yearWritten,yearPremiered,yearPrinted,yearNormalized,digitalSource,originalSourcePublisher,originalSourcePubPlace,originalSourceYear,originalSourceNumberOfPages,averageDegree,density,averageClustering,size,maxDegree,numConnectedComponents,numEdges,diameter,averagePathLength
fre001682,dreyfus-un-crane-sous-une-tempete,dreyfus-un-crane-sous-une-tempete,,Comedy,False,Dreyfus,Un Crâne sous une Tempête,Saynète,0,madame|monsieur,4,0,2,1,1,0,0,156,0,,2825,2657,529,,,1887,1887.0,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/DREYFUS_CRANESOUSLETEMPETE.xml', 'http://theatre-classique.fr/pages/documents/DREYFUS_CRANESOUSLETEMPETE.xml']",,,,,1.0,1.0,0.0,2,1.0,1.0,1.0,1.0,1.0
fre001684,dreyfus-un-homme-en-habit-noir,dreyfus-un-homme-en-habit-noir,,Comedy,False,Dreyfus,Un Homme en Habit Noir,Saynète,0,le-monsieur,1,0,1,0,0,1,0,87,0,,3043,2921,338,,,1887,1887.0,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/DREYFUS_MONSIEURENHABITNOIR.xml', 'http://theatre-classique.fr/pages/documents/DREYFUS_MONSIEURENHABITNOIR.xml']",,,,,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0
fre000565,du-pont-de-veyle-somnanbule,du-pont-de-veyle-somnanbule,,Comedy,False,Feriol de Pont-de-Veyle,Le Somnambule,Comédie en un Acte et en Prose.,0,thibaut|le-baron|la-comtesse,21,1,8,4,2,2,0,528,0,,9314,9059,164,,1739.0,1739,1739.0,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/DUPONTDEVEYLE_SOMNANBULE.xml', 'http://theatre-classique.fr/pages/documents/DUPONTDEVEYLE_SOMNANBULE.xml']",,,,,6.0,0.8571428571428571,0.928571428571428,8,7.0,1.0,24.0,2.0,1.142857142857142
fre000576,du-ryer-alcimedon,du-ryer-alcimedon,,Tragicomedy,False,Du Ryer,Alcimedon,Tragi-Comédie,0,daphne|nerine|scamandre,25,5,8,5,3,0,0,0,1895,,17835,16496,11,,1635.0,1636,1635.0,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/DURYER_ALCIMEDON.xml', 'http://theatre-classique.fr/pages/documents/DURYER_ALCIMEDON.xml']",,,,,5.75,0.8214285714285711,0.8940476190476191,8,7.0,1.0,23.0,2.0,1.178571428571428
fre000577,du-ryer-alcionee,du-ryer-alcionee,,Tragedy,False,Du Ryer,Alcionée,Ou le Combat de l'Honneur et de l'Amour,0,lydie|alcionee|le-roi,24,5,8,4,3,1,0,0,1744,,15856,15077,16,,1639.0,1640,1639.0,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/DURYER_ALCIONEE.xml', 'http://theatre-classique.fr/pages/documents/DURYER_ALCIONEE.xml']",,,,,3.75,0.535714285714285,0.7333333333333331,8,5.0,1.0,15.0,3.0,1.5714285714285712
fre000578,du-ryer-anaxandre,du-ryer-anaxandre,,Tragicomedy,False,Du Ryer,Anaxandre,Tragi-Comédie,0,prodote|anaxandre,33,5,8,4,3,1,0,0,1918,,17733,17332,0,,1654.0,1655,1654.0,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/DURYER_ANAXANDRE.xml', 'http://theatre-classique.fr/pages/documents/DURYER_ANAXANDRE.xml']",,,,,5.0,0.7142857142857141,0.8547619047619041,8,7.0,1.0,20.0,2.0,1.2857142857142851
fre000579,du-ryer-argenis-poliarque,du-ryer-argenis-poliarque,,Tragicomedy,False,Du Ryer,Argenis et Poliarque ou Théocrine,Tragi-Comédie,0,poliarque,19,5,17,11,2,4,0,0,1833,,16421,15549,44,,1630.0,1630,1630.0,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/DURYER_ARGENISPOLIARQUE.xml', 'http://theatre-classique.fr/pages/documents/DURYER_ARGENISPOLIARQUE.xml']",,,,,4.7058823529411775,0.29411764705882304,0.7499278499278491,17,11.0,1.0,40.0,4.0,1.941176470588235
fre000580,du-ryer-berenice,du-ryer-berenice,,Tragicomedy,False,Du Ryer,Bérénice,Tragi-Comédie en Prose,0,tirinte|amasie|criton,31,5,7,5,2,0,0,464,0,,16693,16139,0,,1644.0,1635,1635.0,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/DURYER_BERENICE.xml', 'http://theatre-classique.fr/pages/documents/DURYER_BERENICE.xml']",,,,,5.142857142857143,0.8571428571428571,0.914285714285714,7,6.0,1.0,18.0,2.0,1.142857142857142
fre000581,du-ryer-clarigene,du-ryer-clarigene,,Tragicomedy,False,Du Ryer,Clarigène,Tragicomédie,0,celie,23,5,11,8,3,0,0,0,1582,,14628,13834,27,,1637.0,1639,1637.0,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/DURYER_CLARIGENE.xml', 'http://theatre-classique.fr/pages/documents/DURYER_CLARIGENE.xml']",,,,,5.272727272727272,0.527272727272727,0.8098124098124091,11,10.0,1.0,29.0,2.0,1.472727272727272
fre000582,du-ryer-cleomedon,du-ryer-cleomedon,,Tragicomedy,False,Du Ryer,Cléomédon,Tragi-Comédie,0,policandre,23,5,12,0,12,0,0,0,2150,,20170,19138,59,,,1636,1636.0,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/DURYER_CLEOMEDON.xml', 'http://theatre-classique.fr/pages/documents/DURYER_CLEOMEDON.xml']",,,,,7.166666666666667,0.651515151515151,0.7285113035113031,12,11.0,1.0,43.0,2.0,1.348484848484848
